video_id,comment_thread_id,comment_id,comment_text,author,published_date,like_count,reply_count,parent_id,timestamp,mentions,title
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_PuCUEAek,​@@StreetDogStevethat means if you mess with us that is what is going to happen to you 😂😂,jessiesoto,2024-03-29T18:17:30Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 18:17:30+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_WzUvwI4q,"​@@leeloopatsy ""poor fools"", mother- they killed people!
What's wrong with people like yourself?!",Finnishnat-conservativedot7126,2024-03-29T19:19:24Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1OxNMpRP3Q,2024-03-29 19:19:24+00:00,leeloopatsy,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_X6Ags_MM,Thinking Russia is left Europe ... Russia has no human rights for criminals,1312cleoke,2024-03-29T19:20:26Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 19:20:26+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_XsZt49GT,"you learnd nothing the last years? they are not hard.. they use poison the weapon of woman..
they aren't as though as we all thought",susansucks9472,2024-03-29T19:27:11Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 19:27:11+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_YqHuQ6xv,This dirty play might be done by putin for the purpose to blame Ukraine and it's Allies. So Russia could pro long it's war against Ukraine and get some political achievements.,innocentkhattak3375,2024-03-29T19:35:37Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 19:35:37+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_ZNtJ0RC3,​@@kasimahmadzai8150You Peace of Afgha*ndo is spotted here lol.,innocentkhattak3375,2024-03-29T19:40:20Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 19:40:20+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1__sTjm3_o,"Вы очень заблуждаетесь. Сша предупредила только своих американцев, которые находились в России. Вам врут. Россию не предупреждали​@@namastezen3300",user-du2mb2tq4z,2024-03-29T19:53:23Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1T6p3NrAsf,2024-03-29 19:53:23+00:00,namastezen3300,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_a6-sL0tb,"​@@notoriousjel вы взрослейте. Сша предупредило американцев, которые находились в России, и то косвенно. Этот терракт сделало сша, великобритания и украина. Поумнейте",user-du2mb2tq4z,2024-03-29T19:55:22Z,0,2,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1OdL7T7LQu,2024-03-29 19:55:22+00:00,notoriousjel,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_aJt93wYC,😂😂😂,nanadmedici6505,2024-03-29T19:57:16Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 19:57:16+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_dUV-zjvz,same thing in other muslim countries where death penalty is high,Nigga978,2024-03-29T20:24:56Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 20:24:56+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_h6oD1Rwu,​@@namastezen3300just stop lying,ElNino-xm3ej,2024-03-29T20:56:40Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 20:56:40+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_ivp_UtY6,@@iwishpeoplecaredagain In todays age one button can send us all there,horatioh2020,2024-03-29T21:12:29Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1O_YAcUIGH,2024-03-29 21:12:29+00:00,iwishpeoplecaredagain,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_lf9entum,@@user-du2mb2tq4z I don't speak Cyrillic sorry,notoriousjel,2024-03-29T21:36:25Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_a6-sL0tb,2024-03-29 21:36:25+00:00,user-du2mb2tq4z,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_rXZFzSl2,"La verdad de ellos ,no es la verdad hasta el mismísimo Papa habría confesado que fue él , son 4 desgraciados que les tocó no precisamente la lotería 😢",antonio4463,2024-03-29T22:27:41Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 22:27:41+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_skkjQafl,Indeed,TheSixStringGuy,2024-03-29T22:38:21Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 22:38:21+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_urcTL_js,"@@Truthspeakers1589Stop lying, the border is near Bryansk, it’s about 450 km and 6 hours drive from Crocus City",Dikenvay333,2024-03-29T22:56:46Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 22:56:46+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
